"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"gtmfmwq  ","P",01/01/2007 0:00,1,1,"",19.6,<0> ,53.84,<0> ,35.6,<0> ,96.4,<0> ,7.2,<0> ,2.32,<0> ,"","","",<-1> ,"","",8.0,<0> ,2,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 0:15,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 0:30,1,1,"",19.5,<0> ,53.78,<0> ,35.6,<0> ,97.5,<0> ,7.3,<0> ,2.23,<0> ,"","","",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 0:45,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 1:00,1,1,"",19.2,<0> ,54.1,<0> ,35.8,<0> ,98.5,<0> ,7.4,<0> ,2.17,<0> ,"","","",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 1:15,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 1:30,1,1,"",19.2,<0> ,54.07,<0> ,35.8,<0> ,98.6,<0> ,7.4,<0> ,2.16,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 1:45,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 2:00,1,1,"",19.5,<0> ,53.62,<0> ,35.5,<0> ,98.6,<0> ,7.3,<0> ,2.23,<0> ,"","","",<-1> ,"","",8.0,<0> ,5,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 2:15,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 2:30,1,1,"",19.9,<0> ,53.01,<0> ,35.0,<0> ,100.5,<0> ,7.5,<0> ,2.33,<0> ,"","","",<-1> ,"","",8.0,<0> ,7,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 2:45,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 3:00,1,1,"",19.8,<0> ,53.15,<0> ,35.1,<0> ,100.1,<0> ,7.4,<0> ,2.48,<0> ,"","","",<-1> ,"","",8.0,<0> ,6,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 3:15,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 3:30,1,1,"",19.7,<0> ,53.23,<0> ,35.2,<0> ,99.2,<0> ,7.4,<0> ,2.64,<0> ,"","","",<-1> ,"","",8.0,<0> ,6,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 3:45,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 4:00,1,1,"",19.4,<0> ,53.57,<0> ,35.4,<0> ,98.7,<0> ,7.4,<0> ,2.79,<0> ,"","","",<-1> ,"","",8.0,<0> ,6,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 4:15,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 4:30,1,1,"",19.1,<0> ,53.86,<0> ,35.7,<0> ,98.8,<0> ,7.4,<0> ,2.95,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 4:45,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 5:00,1,1,"",18.7,<0> ,54.11,<0> ,35.9,<0> ,99.1,<0> ,7.5,<0> ,3.11,<0> ,"","","",<-1> ,"","",8.1,<0> ,5,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 5:15,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmfmwq  ","P",01/01/2007 5:30,1,1,"",18.6,<0> ,54.18,<0> ,35.9,<0> ,96.5,<0> ,7.3,<0> ,3.24,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmfmwq  ","P",01/01/2007 5:45,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
