"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"gtmsswq  ","P",01/01/2007 0:00,1,1,"",19.4,<0> ,48.85,<0> ,32.0,<0> ,86.0,<0> ,6.5,<0> ,3.16,<0> ,"","","",<-1> ,"","",8.0,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2007 0:15,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmsswq  ","P",01/01/2007 0:30,1,1,"",19.2,<0> ,50.4,<0> ,33.1,<0> ,80.3,<0> ,6.1,<0> ,3.15,<0> ,"","","",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2007 0:45,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmsswq  ","P",01/01/2007 1:00,1,1,"",19.2,<0> ,50.49,<0> ,33.2,<0> ,81.7,<0> ,6.2,<0> ,3.22,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2007 1:15,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmsswq  ","P",01/01/2007 1:30,1,1,"",19.3,<0> ,50.6,<0> ,33.3,<0> ,90.8,<0> ,6.9,<0> ,3.4,<0> ,"","","",<-1> ,"","",8.0,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2007 1:45,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
"gtmsswq  ","P",01/01/2007 2:00,1,1,"",19.2,<0> ,50.66,<0> ,33.3,<0> ,90.6,<0> ,6.9,<0> ,3.59,<0> ,"","","",<-1> ,"","",8.0,<0> ,7,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2007 2:15,1,1,"","",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"",<-2> (CSM),"","","",<-1> ,"","","",<-2> (CSM),"",<-2> (CSM),"",<-1> ,
