Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,DOP,F_DOP,TDP,F_TDP,TP,F_TP,PHOSP,F_PHOSP,NH4F,F_NH4F,NO23F,F_NO23F,DIN,F_DIN,DON,F_DON,TDN,F_TDN,TN,F_TN,TKN,F_TKN,TKNF,F_TKNF,TON,F_TON,PON,F_PON,PN,F_PN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,DOC,F_DOC,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ENTERO_MPN,F_ENTERO_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,Color,F_Color,SECCHI,F_SECCHI
gtmfmnut,1/4/2022 10:28,1,1,,0.009,0,0.009,0,0.018,0,0.033,0,0.015,0,0.013,0,0.011,0,0.024,0,0.23,,0.25,,0.30,,0.29,0,0.24,0,0.28,,0.05,0,0.05,0,5.0,0,6.0,0,1.4,0,2.0,0,16,0,3,<-4> [SBL] (CHB),10.0,<-4> [SBL] (CHB),17.8,0,34.6,0,7.4,0,7.9,0,7.5,<-4> [SBL],1.0,0
gtmfmnut,1/4/2022 10:32,1,2,,0.008,0,0.008,0,0.016,0,0.034,0,0.018,0,0.012,0,0.010,0,0.022,0,0.19,,0.21,,0.39,,0.38,0,0.20,0,0.37,,0.18,0,0.18,0,5.4,0,6.5,0,1.4,0,2.0,0,16,0,3,<-4> [SBL] (CHB),10.0,<-4> [SBL] (CHB),17.8,0,34.6,0,7.4,0,7.9,0,7.5,<-4> [SBL],1.0,0
gtmssnut,1/4/2022 11:32,1,1,,0.006,0,0.008,0,0.014,0,0.030,0,0.016,0,0.005,0,0.004,<-4> [SBL],,<-4> [SCB],0.16,,,<-4> [SCB],,<-4> [SCB],0.34,0,0.17,0,0.34,,0.17,0,,<-2> [GCM],6.8,0,7.7,0,1.1,0,2.0,0,14,0,3,<-4> [SBL] (CHB),10,<1> (CHB),18.8,0,34.8,0,7.1,0,8.0,0,7.5,<-4> [SBL],1.2,0
gtmssnut,1/4/2022 11:35,1,2,,0.005,0,0.007,0,0.012,0,0.031,0,0.019,0,0.004,0,0.004,<-4> [SBL],,<-4> [SCB],0.18,,,<-4> [SCB],,<-4> [SCB],0.30,0,0.18,0,0.30,,0.12,0,,<-2> [GCM],6.9,0,7.9,0,1.2,0,2.1,0,14,0,3,<-4> [SBL] (CHB),10.0,<-4> [SBL] (CHB),18.8,0,34.8,0,7.1,0,8.0,0,7.5,<-4> [SBL],1.2,0
gtmpinut,1/4/2022 12:46,1,1,,0.015,0,0.012,0,0.027,0,0.039,0,0.012,0,0.009,0,0.012,0,0.021,0,0.22,,0.24,,0.34,,0.33,0,0.23,0,0.32,,0.10,0,0.10,0,6.8,0,7.6,0,1.0,0,3.4,0,10,0,3,<-4> [SBL] (CHB),10.0,<-4> [SBL] (CHB),18.8,0,32.7,0,6.4,0,7.9,0,2.5,<-4> [SBL],1.3,0
gtmpinut,1/4/2022 12:50,1,2,,0.015,0,0.011,0,0.026,0,0.042,0,0.016,0,0.010,0,0.012,0,0.022,0,0.21,,0.23,,0.38,,0.37,0,0.22,0,0.36,,0.15,0,0.15,0,6.7,0,7.5,0,0.9,0,3.3,0,10,0,3,<1> [GSM] (CHB),10.0,<-4> [SBL] (CHB),18.8,0,32.7,0,6.4,0,7.9,0,2.5,<-4> [SBL],1.3,0
gtmpcnut,1/4/2022 14:32,1,1,,0.025,0,0.011,0,0.036,0,0.055,0,0.019,0,0.032,0,0.020,0,0.052,0,0.29,,0.34,,0.53,,0.51,0,0.32,0,0.48,,0.19,0,0.19,0,6.0,0,6.8,0,1.5,<-4> [SBL],6.9,0,17,0,50,<1> [GSM] (CHB),10.0,<-4> [SBL] (CHB),17.5,0,28.0,0,7.4,0,7.8,0,33.0,<1> (CSM),0.8,0
gtmpcnut,1/4/2022 14:35,1,2,,0.026,0,0.010,0,0.036,0,0.055,0,0.019,0,0.032,0,0.019,0,0.051,0,0.33,,0.38,,0.48,,0.46,0,0.36,0,0.43,,0.10,0,0.10,0,5.9,<1> (CSM),6.4,<1> (CSM),1.5,<-4> [SBL],7.0,0,17,<1> (CSM),44,<1> [GSM] (CHB),10,<1> (CHB),17.5,0,28.0,0,7.4,0,7.8,0,33.0,0,0.8,0
gtmpcnut,1/17/2022 09:30,2,1,,0.042,<1> (CHB),0.011,<-3> [GCR],0.053,<-3> (CSM),0.066,0,0.013,<-3> [GCR],0.035,0,0.011,0,0.046,0,0.43,,0.48,,0.53,,0.52,0,0.47,0,0.48,,0.05,0,0.05,0,1.7,<1> (CHB),2.2,<1> (CHB),0.90,<-4> [SBL] (CSM),15.0,0,10,0,,<-1>,,<-1>,12.6,0,9.6,0,9.0,0,7.6,0,,<-1>,,<-1>
gtmpcnut,1/17/2022 12:00,2,1,,0.037,0,,<-1>,,<-1>,0.068,0,,<-1>,0.031,0,0.012,0,0.043,0,,<-1>,,<-1>,0.54,,0.53,0,,<-1>,0.50,,,<-1>,,<-1>,2.4,0,2.4,0,2.2,<-4> [SBL],13.0,0,11,0,,<-1>,,<-1>,12.2,0,12.8,0,9.2,0,7.6,0,,<-1>,,<-1>
gtmpcnut,1/17/2022 14:30,2,1,,0.037,0,,<-1>,,<-1>,0.064,0,,<-1>,0.029,0,0.010,0,0.039,0,,<-1>,,<-1>,0.53,,0.52,0,,<-1>,0.49,,,<-1>,,<-1>,3.2,0,3.4,0,1.8,<-4> [SBL],13.0,0,8,0,,<-1>,41,<1> (CHB),13.8,0,9.9,0,9.1,0,7.6,0,,<-1>,,<-1>
