Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,DON,F_DON,TDN,F_TDN,TN,F_TN,PN,F_PN,TKN,F_TKN,TKNF,F_TKNF,TON,F_TON,PON,F_PON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,DOC,F_DOC,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ENTERO_MPN,F_ENTERO_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,SECCHI,F_SECCHI
gtmpcnut,7/7/2020 3:00,2,1, ,0.048,0,0.110,0,0.071,0,0.004,0,0.011,0,0.015,0,0.086,0, ,<-1>,,<-1>,0.80,0,,<-1>,0.78,0, ,<-1>  ,0.71,0,,<-1>,7.1,0,11.0,0,5.5,0,10.0,0,33,0,8,<1> [GSM] (CHB), ,<-1>  ,28.3,0,20.1,0,4.0,0,7.4,0, ,<-1>  , ,<-1>  
gtmpcnut,7/7/2020 5:30,2,1, ,0.061,0,0.110,0,0.083,0,0.005,0,0.016,0,0.021,0,0.104,0, ,<-1>,,<-1>,0.79,0,,<-1>,0.77,0, ,<-1>  ,0.69,0,,<-1>,6.1,0,9.3,0,4.9,0,13.0,0,22,0,14,<1> [GSM] (CHB), ,<-1>  ,28.1,0,14.1,0,3.5,0,7.2,0, ,<-1>  , ,<-1>  
gtmpcnut,7/7/2020 8:00,2,1, ,0.068,0,0.110,0,0.083,0,0.006,0,0.021,0,0.027,0,0.110,0, ,<-1>,,<-1>,0.83,0,,<-1>,0.80,0, ,<-1>  ,0.72,0,,<-1>,6.9,0,8.8,0,3.0,<-4> [SBL],14.0,0,13,0,84,<1> (CHB), ,<-1>  ,28.0,0,11.8,0,2.8,0,7.2,0, ,<-1>  , ,<-1>  
gtmfmnut,7/7/2020 10:01,1,1, ,0.010,0,0.038,0,0.006,0,0.002,<-4> [SBL],,<-4> [SCB],0.004,<-4> [SBL],,<-4> [SCB],0.28,0,,<-4> [SCB],,<-4> [SCB],,<-2> [GCM],0.38,0,0.29,0,0.37,0,0.09,0,7.9,0,8.9,0,1.1,0,1.9,0,9,0,3,<-4> [SBL] (CHB), ,<-1>  ,27.3,0,35.7,0,5.0,0,7.3,0,4,0,1.50,0
gtmfmnut,7/7/2020 10:04,1,2, ,0.009,0,0.030,0,0.004,0,0.002,<-4> [SBL],,<-4> [SCB],0.004,<-4> [SBL],,<-4> [SCB],0.24,0,,<-4> [SCB],,<-4> [SCB],,<-2> [GCM],0.29,0,0.24,0,0.29,0,0.05,0,7.2,0,8.1,0,1.1,0,1.7,0,8,0,3,<-4> [SBL] (CHB), ,<-1>  ,27.3,0,35.7,0,5.0,0,7.3,0,4,0,1.50,0
gtmpcnut,7/7/2020 10:30,2,1, ,0.056,0,0.100,0,0.037,0,0.005,0,0.018,0,0.023,0,0.060,0, ,<-1>,,<-1>,0.87,0,,<-1>,0.85,0, ,<-1>,0.81,0,,<-1>,16.0,0,18.0,0,3.0,<-4> [SBL],13.0,0,20,0,25,<1> [GSM] (CHB), ,<-1>  ,28.9,0,14.8,0,4.1,0,7.3,0, ,<-1>  , ,<-1>  
gtmssnut,7/7/2020 11:23,1,1, ,0.014,0,0.041,0,0.009,0,0.002,<-4> [SBL],,<-4> [SCB],0.004,<-4> [SBL],,<-4> [SCB],0.27,0,,<-4> [SCB],,<-4> [SCB],,<-2> [GCM],0.28,0,0.28,0,0.27,0,0.00,0,7.3,0,8.3,0,1.2,0,2.0,0,11,0,3,<-4> [SBL] (CHB), ,<-1>  ,28.3,0,35.9,0,5.4,0,7.7,0,5,0,0.90,0
gtmssnut,7/7/2020 11:26,1,2, ,0.012,0,0.039,0,0.005,0,0.002,<-4> [SBL],,<-4> [SCB],0.004,<-4> [SBL],,<-4> [SCB],0.22,0,,<-4> [SCB],,<-4> [SCB],,<-2> [GCM],0.27,0,0.23,0,0.26,0,0.04,0,8.5,0,9.5,0,1.1,0,2.1,0,11,0,3,<-4> [SBL] (CHB), ,<-1>  ,28.3,0,35.9,0,5.4,0,7.7,0,5,0,0.90,0
gtmpcnut,7/7/2020 11:44,1,1, ,0.053,<1> (CSM),0.100,<1> (CSM),0.045,<1> (CSM),0.005,<1> (CSM),0.014,<1> (CSM),0.019,<1> (CSM),0.064,<1> (CSM),0.60,<1> (CSM),0.66,<1> (CSM),0.88,<1> (CSM),0.22,<1> (CSM),0.86,<1> (CSM),0.64,<1> (CSM),0.82,<1> (CSM),0.22,<1> (CSM),17.0,<1> (CSM),20.0,<1> (CSM),4.3,<1> (CSM),13.0,<1> (CSM),26,<1> (CSM),39,<1> [GSM] (CHB),30.5,<1> [GSM] (CHB),28.5,0,17.6,0,4.2,0,7.1,0,15,<1> (CSM),,<-2> [GDM]
gtmpcnut,7/7/2020 11:45,1,2, ,0.052,<1> (CSM),0.110,<1> (CSM),0.034,<1> (CSM),0.005,<1> (CSM),0.014,<1> (CSM),0.019,<1> (CSM),0.053,<1> (CSM),0.63,<1> (CSM),0.68,<1> (CSM),0.74,<1> (CSM),0.06,<1> (CSM),0.72,<1> (CSM),0.66,<1> (CSM),0.69,<1> (CSM),0.06,<1> (CSM),20.0,<1> (CSM),24.0,<1> (CSM),4.9,<1> (CSM),13.0,<1> (CSM),25,<1> (CSM),22,<1> [GSM] (CHB), ,<-1>  ,28.5,0,17.6,0,4.2,0,7.1,0,14,<1> (CSM),,<-2> [GDM]
