Station Code,DateTimeStamp,Monitoring Program,REP,F_Record,PO4F,F_PO4F,TDP,F_TDP,TP,F_TP,PHOSP,F_PHOSP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TDN,F_TDN,TN,F_TN,PN,F_PN,UncCHLa_N,F_UncCHLa_N,CHLA_N,F_CHLA_N,PHEA,F_PHEA,POC,F_POC,SiO4F,F_SiO4F,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,COLOR,F_COLOR,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmpinut,11/9/2002 15:46,1,2,,0.021,<4>,0.029,<4>,0.064,<4>,0.035,<4>,0.048,<4>,0.01,<4>,0.0111,<4>,0.0211,<4>,0.069,<4>,0.321,<4>,0.492,<4>,0.171,<4>,3.9,<4>,3.9,<4>,2.8,<4>,1.703,<4>,2.545,<4>,36,<4>,21.9,<4>,26.9,<4>,6.6,<4>,7.8,<4>,5.2,<4>,36,<4>,0,<4>,288.3,<4>,35.5,<4>,2.094,<4>
gtmpcnut,11/9/2002 17:49,2,1,,0.02,<1> (CSM),0.011,<1> (CSM),0.025,<4>,0.014,<1> (CSM),0.014,<4>,0.0016,<4>,0.0006,<4>,0.0022,<4>,0.016,<4>,0.344,<4>,0.4708,<4>,0.1268,<4>,2.7,<4>,4.7,<4>,3.9,<4>,1.776,<4>,4.118,<4>,,<-1>,,<-1>,23,<4>,,<-1>,,<-1>,4.5,<4>,93,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,11/9/2002 20:19,2,1,,0.027,<1> (CSM),0.01,<1> (CSM),0.036,<4>,0.026,<1> (CSM),0.022,<4>,0.0051,<4>,0.0093,<4>,0.0144,<4>,0.036,<4>,0.4191,<4>,0.5685,<4>,0.1494,<4>,1.9,<4>,1.2,<4>,2.6,<4>,1.296,<4>,7.033,<4>,,<-1>,,<-1>,14,<4>,,<-1>,,<-1>,1.3,<4>,163,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,11/9/2002 22:49,2,1,,0.028,<1> (CSM),0.016,<1> (CSM),0.025,<4>,0.009,<1> (CSM),0.012,<4>,0.006,<4>,0.0109,<4>,0.0169,<4>,0.029,<4>,0.4751,<4>,0.5604,<4>,0.0853,<4>,2.1,<4>,0.8,<4>,2,<4>,0.86,<4>,9.708,<4>,,<-1>,,<-1>,9,<4>,,<-1>,,<-1>,3.3,<4>,194,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,11/10/2002 1:19,2,1,,0.028,<1> (CSM),0.016,<1> (CSM),0.033,<4>,0.017,<1> (CSM),0.014,<4>,0.0029,<4>,0.0141,<4>,0.017,<4>,0.031,<4>,0.4581,<4>,0.5565,<4>,0.0984,<4>,2.7,<4>,0.8,<4>,2.3,<4>,0.963,<4>,9.353,<4>,,<-1>,,<-1>,11,<4>,,<-1>,,<-1>,3.3,<4>,186,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,11/10/2002 3:49,2,1,,0.026,<1> (CSM),0.011,<1> (CSM),0.028,<4>,0.017,<1> (CSM),0.016,<4>,0.0022,<4>,0.0162,<4>,0.0184,<4>,0.034,<4>,0.423,<4>,0.5298,<4>,0.1068,<4>,2.3,<4>,1.8,<4>,1.6,<4>,0.981,<4>,5.622,<4>,,<-1>,,<-1>,18,<4>,,<-1>,,<-1>,2.4,<4>,129,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,11/10/2002 6:19,2,1,,0.028,<1> (CSM),0.014,<1> (CSM),0.03,<4>,0.016,<1> (CSM),0.027,<4>,0.003,<4>,0.0258,<4>,0.0288,<4>,0.056,<4>,0.459,<4>,0.5632,<4>,0.1042,<4>,3.3,<4>,1.1,<4>,2.1,<4>,0.803,<4>,8.626,<4>,,<-1>,,<-1>,12,<4>,,<-1>,,<-1>,3.5,<4>,175,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,11/10/2002 8:49,2,1,,0.029,<1> (CSM),0.017,<1> (CSM),0.032,<4>,0.015,<1> (CSM),0.032,<4>,0.0064,<4>,0.0222,<4>,0.0286,<4>,0.061,<4>,0.513,<4>,0.5693,<4>,0.0563,<4>,6.2,<4>,2.2,<4>,1.9,<4>,0.764,<4>,7.643,<4>,,<-1>,,<-1>,9,<4>,,<-1>,,<-1>,3.5,<4>,195,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,11/10/2002 11:19,2,1,,0.031,<1> (CSM),0.029,<1> (CSM),0.033,<4>,0.004,<1> (CSM),0.009,<4>,0.0083,<4>,0.0092,<4>,0.0175,<4>,0.027,<4>,0.557,<4>,0.5827,<4>,0.0257,<4>,7.4,<4>,4.7,<4>,2.9,<4>,1.057,<4>,10.545,<4>,,<-1>,,<-1>,6,<4>,,<-1>,,<-1>,4.2,<4>,190,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,11/10/2002 13:49,2,1,,0.03,<1> (CSM),0.019,<1> (CSM),0.027,<4>,0.008,<1> (CSM),0.01,<4>,0.0108,<4>,0.0204,<4>,0.0312,<4>,0.041,<4>,0.508,<4>,0.5645,<4>,0.0565,<4>,9,<4>,5.5,<4>,3.6,<4>,1.319,<4>,9.561,<4>,,<-1>,,<-1>,8,<4>,,<-1>,,<-1>,3.2,<4>,128,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,11/10/2002 16:19,2,1,,0.027,<1> (CSM),0.01,<1> (CSM),0.024,<4>,0.014,<1> (CSM),0.008,<-4> [SBL],0.0031,<4>,0.0128,<4>,0.0159,<4>,,<-4> [SCB],0.423,<4>,0.5407,<4>,0.1177,<4>,10,<4>,6,<4>,5.4,<4>,1.959,<4>,5.158,<4>,,<-1>,,<-1>,18,<4>,,<-1>,,<-1>,4.6,<4>,213,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,12/2/2002 14:20,1,1,,0.021,<4>,0.013,<4>,0.033,<4>,0.02,<4>,0.083,<4>,0.0034,<4>,0,<4>,0.0034,<4>,0.086,<4>,0.347,<4>,0.543,<4>,0.196,<4>,7.2,<4>,5.2,<4>,3,<4>,1.618,<4>,5.286,<4>,23,<4>,15.1,<4>,12.4,<4>,8.3,<4>,7.7,<4>,3.7,<4>,57,<4>,0.9,<4>,935.6,<4>,74.2,<4>,2.534,<4>
gtmpcnut,12/2/2002 14:21,1,2,,0.021,<4>,0.016,<4>,0.029,<4>,0.013,<4>,0.091,<4>,0.0035,<4>,0.0022,<4>,0.0057,<4>,0.097,<4>,0.343,<4>,0.543,<4>,0.2,<4>,5.4,<4>,5.6,<4>,3,<4>,1.618,<4>,5.734,<4>,20,<4>,15.1,<4>,12.4,<4>,8.3,<4>,7.7,<4>,3.2,<4>,55,<4>,0.9,<4>,935.6,<4>,74.2,<4>,2.534,<4>
gtmpcnut,12/2/2002 14:20,2,S,,0.022,<1> (CSM),0.013,<1> (CSM),0.032,<4>,0.019,<1> (CSM),0.061,<4>,0.0034,<4>,0.0008,<4>,0.0042,<4>,0.065,<4>,0.3528,<4>,0.4034,<4>,0.0506,<4>,6.2,<4>,3.1,<4>,4,<4>,1.66,<4>,5.723,<4>,,<-1>,,<-1>,17,<4>,,<-1>,,<-1>,7.4,<4>,70,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,12/2/2002 16:50,2,1,,0.03,<1> (CSM),0.012,<1> (CSM),0.025,<4>,0.013,<1> (CSM),0.064,<4>,0.0033,<4>,0.0008,<4>,0.0041,<4>,0.068,<4>,0.3253,<4>,0.4454,<4>,0.1201,<4>,7.7,<4>,4.8,<4>,2.6,<4>,1.392,<4>,6.326,<4>,,<-1>,,<-1>,15,<4>,,<-1>,,<-1>,3.8,<4>,77,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,12/2/2002 19:20,2,1,,0.029,<1> (CSM),0.015,<1> (CSM),0.036,<4>,0.021,<1> (CSM),0.068,<4>,0.0033,<4>,0.0011,<4>,0.0044,<4>,0.072,<4>,0.3637,<4>,0.5268,<4>,0.1631,<4>,16,<4>,13.1,<4>,5.6,<4>,2.085,<4>,6.338,<4>,,<-1>,,<-1>,13,<4>,,<-1>,,<-1>,0.9,<4>,81,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,12/2/2002 21:50,2,1,,0.027,<1> (CSM),0.009,<1> (CSM),0.025,<4>,0.016,<1> (CSM),0.06,<4>,0.0034,<4>,0.0011,<4>,0.0045,<4>,0.065,<4>,0.2923,<4>,0.3076,<4>,0.0153,<4>,9,<4>,5.2,<4>,4.5,<4>,1.458,<4>,4.281,<4>,,<-1>,,<-1>,19,<4>,,<-1>,,<-1>,8.4,<4>,58,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,12/3/2002 0:20,2,1,,0.027,<1> (CSM),0.006,<1> (CSM),0.033,<4>,0.027,<1> (CSM),0.062,<4>,0.0034,<4>,0.001,<4>,0.0044,<4>,0.066,<4>,0.3085,<4>,0.4647,<4>,0.1562,<4>,12.3,<4>,6.8,<4>,4,<4>,1.614,<4>,5.273,<4>,,<-1>,,<-1>,18,<4>,,<-1>,,<-1>,4,<4>,66,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,12/3/2002 2:50,2,1,,0.028,<1> (CSM),0.005,<1> (CSM),0.028,<4>,0.023,<1> (CSM),0.048,<4>,0.0031,<4>,0.0012,<4>,0.0043,<4>,0.052,<4>,0.308,<4>,0.4856,<4>,0.1776,<4>,7.6,<4>,10.4,<4>,3.6,<4>,1.679,<4>,5.403,<4>,,<-1>,,<-1>,18,<4>,,<-1>,,<-1>,2.1,<4>,73,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,12/3/2002 5:20,2,1,,0.027,<1> (CSM),,<-2> [GDM],0.03,<4>,,<-2> [GCM],0.059,<4>,0.0035,<4>,0.0004,<4>,0.0039,<4>,0.063,<4>,0.334,<4>,0.4686,<4>,0.1346,<4>,6.8,<4>,5.5,<4>,3.9,<4>,1.379,<4>,6.385,<4>,,<-1>,,<-1>,13,<4>,,<-1>,,<-1>,3.4,<4>,78,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,12/3/2002 7:50,2,1,,0.032,<1> (CSM),0.016,<1> (CSM),0.032,<4>,0.016,<1> (CSM),0.074,<4>,0.0034,<4>,0.0006,<4>,0.004,<4>,0.078,<4>,0.2993,<4>,0.4587,<4>,0.1594,<4>,5,<4>,5.9,<4>,1.6,<4>,1.487,<4>,6.007,<4>,,<-1>,,<-1>,14,<4>,,<-1>,,<-1>,9.5,<4>,73,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpinut,12/3/2002 9:50,1,1,,0.016,<4>,0.013,<4>,0.021,<4>,0.008,<4>,0.061,<4>,0.0014,<-4> [SBL],,<-4> [SCB],0.003,<4>,0.064,<4>,0.303,<4>,0.39,<4>,0.087,<4>,8.5,<4>,4.1,<4>,2.1,<4>,1.078,<4>,1.585,<4>,39,<4>,,<-2> [GDM],,<-2> [GDM],,<-2> [GDM],,<-2> [GDM],1.4,<4>,49,<4>,1.6,<4>,767.3,<4>,231,<4>,1.2,<4>
gtmpinut,12/3/2002 9:51,1,2,,0.015,<4>,0.009,<4>,0.023,<4>,0.014,<4>,0.03,<4>,0.0014,<-4> [SBL],,<-4> [SCB],0.0031,<4>,0.033,<4>,0.282,<4>,0.39,<4>,0.108,<4>,9.7,<4>,4.1,<4>,2.3,<4>,0.943,<4>,1.207,<4>,37,<4>,,<-2> [GDM],,<-2> [GDM],,<-2> [GDM],,<-2> [GDM],0.8,<4>,12,<4>,1.6,<4>,767.3,<4>,231,<4>,1.2,<4>
gtmpcnut,12/3/2002 10:20,2,1,,0.024,<1> (CSM),,<-2> [GDM],0.017,<4>,,<-2> [GCM],0.059,<4>,0.0031,<4>,0.0009,<4>,0.004,<4>,0.063,<4>,0.2532,<4>,0.3325,<4>,0.0793,<4>,9.7,<4>,3,<4>,3.6,<4>,1.276,<4>,2.814,<4>,,<-1>,,<-1>,15,<4>,,<-1>,,<-1>,5.7,<4>,66,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmssnut,12/3/2002 11:40,1,1,,0.013,<4>,0.006,<4>,0.023,<4>,0.023,<4>,0.058,<4>,0.0023,<4>,0.0012,<4>,0.0035,<4>,0.062,<4>,0.256,<4>,0.319,<4>,0.063,<4>,4.8,<4>,3.9,<4>,2.5,<4>,1.618,<4>,0.45,<4>,41,<4>,,<-2> [GDM],,<-2> [GDM],,<-2> [GDM],8.2,<4>,1.5,<4>,24,<4>,1.2,<4>,1205,<4>,627.3,<4>,0.653,<4>
gtmssnut,12/3/2002 11:41,1,2,,0.015,<4>,0.008,<4>,0.02,<4>,0.02,<4>,0.05,<4>,0.0022,<4>,0.0014,<4>,0.0036,<4>,0.054,<4>,0.255,<4>,0.267,<4>,0.012,<4>,5.1,<4>,3.7,<4>,2.1,<4>,1.575,<4>,1.076,<4>,51,<4>,,<-2> [GDM],,<-2> [GDM],,<-2> [GDM],8.2,<4>,2.6,<4>,30,<4>,1.2,<4>,1205,<4>,627.3,<4>,0.653,<4>
gtmpcnut,12/3/2002 12:50,2,1,,0.03,<1> (CSM),0.015,<1> (CSM),0.027,<4>,0.012,<1> (CSM),0.054,<4>,0.003,<4>,0.0009,<4>,0.0039,<4>,0.058,<4>,0.2715,<4>,0.353,<4>,0.0815,<4>,6.4,<4>,8,<4>,3.2,<4>,1.671,<4>,3.701,<4>,,<-1>,,<-1>,21,<4>,,<-1>,,<-1>,2.8,<4>,60,<4>,,<-1>,,<-1>,,<-1>,,<-1>
gtmfmnut,12/3/2002 13:00,1,1,,0.007,<4>,0.004,<4>,0.015,<4>,0.011,<4>,0.048,<4>,0.0025,<4>,0.0006,<4>,0.0031,<4>,0.051,<4>,0.278,<4>,0.28,<4>,0.002,<4>,1.9,<4>,1.4,<4>,0.9,<4>,0.765,<4>,0.638,<4>,38,<4>,15.7,<4>,32.2,<4>,7.3,<4>,8.2,<4>,1.3,<4>,28,<4>,2.1,<4>,1301,<4>,578,<4>,0.811,<4>
gtmfmnut,12/3/2002 13:01,1,2,,0.006,<4>,0.004,<4>,0.013,<4>,0.009,<4>,0.065,<4>,0.0018,<4>,0.0013,<4>,0.0031,<4>,0.068,<4>,0.235,<4>,0.259,<4>,0.024,<4>,2.4,<4>,1.4,<4>,0.8,<4>,0.82,<4>,0.579,<4>,27,<4>,15.7,<4>,32.2,<4>,7.3,<4>,8.2,<4>,0.9,<4>,26,<4>,2.1,<4>,1301,<4>,578,<4>,0.811,<4>
gtmpcnut,12/3/2002 15:20,2,1,,0.035,<1> (CSM),0.01,<1> (CSM),0.024,<4>,0.014,<1> (CSM),0.103,<4>,0.003,<4>,0.0006,<4>,0.0036,<4>,0.107,<4>,0.2991,<4>,0.4526,<4>,0.1535,<4>,5.2,<4>,4.6,<4>,3.3,<4>,1.242,<4>,5.676,<4>,,<-1>,,<-1>,15,<4>,,<-1>,,<-1>,2.3,<4>,67,<4>,,<-1>,,<-1>,,<-1>,,<-1>
